slug,show_title,start_year,imdb_title_id,imdb_primary_title,imdb_start_year,confidence_score,needs_review,match_status,top_candidates
21_jump_street,21 Jump Street,,tt0092312,21 Jump Street,1987,125,no,auto_match,tt0092312:21 Jump Street(1987)[125]
access_hollywood,Access Hollywood,,tt0167515,Access Hollywood,1996,125,no,auto_match,tt0167515:Access Hollywood(1996)[125] | tt21860804:The Good Lawyer(<NA>)[100] | tt0991296:Access Hollywood en Español(2006)[25] | tt1746642:Access Daily(2010)[0]
ally_mcbeal,Ally McBeal,,tt0118254,Ally McBeal,1997,125,no,auto_match,tt0118254:Ally McBeal(1997)[125] | tt14459844:Ally McBeal Revival Project(<NA>)[25] | tt21840708:Untitled Sequel Ally McBeal/ABC Project(<NA>)[5]
american_idol,American Idol,,tt0319931,American Idol,2002,125,no,auto_match,tt0319931:American Idol(2002)[125] | tt21035292:American Idol Never Discovered(2022)[25] | tt8102094:American idol 13(2014)[25] | tt0810489:American Idol Extra(2006)[25] | tt0840061:American Idol Rewind(2006)[25]
american_ninja_warrior,American Ninja Warrior,,tt1587934,American Ninja Warrior,2009,125,no,auto_match,tt1587934:American Ninja Warrior(2009)[125] | tt27851664:American Ninja Warrior: Women's Championship(2021)[25] | tt10193082:American Ninja Warrior Junior(2018)[25] | tt20783132:American Ninja Warrior (Military Edition)(2016)[25] | tt5865630:American Ninja Warrior: Crashing the Course(2016)[25]
american_pickers,American Pickers,,tt1596786,American Pickers,2010,125,no,auto_match,tt1596786:American Pickers(2010)[125] | tt6959438:American Pickers: Best Of(2017)[25]
ancient_aliens,Ancient Aliens,,tt1643266,Ancient Aliens,2009,125,no,auto_match,tt1643266:Ancient Aliens(2009)[125] | tt33702889:Ancient Aliens: Origins(2024)[25] | tt33059513:Ancient Aliens: Special Presentation(2022)[25] | tt12367610:Ancient Aliens Declassified(2017)[25] | tt3021452:Ancient Aliens: The Mission(2010)[25]
antiques_road_trip,Antiques Road Trip,,tt4353976,Antiques Road Trip,2010,125,no,auto_match,tt4353976:Antiques Road Trip(2010)[125] | tt2161695:Celebrity Antiques Road Trip(2011)[5]
arrested_development,Arrested Development,,tt0367279,Arrested Development,2003,125,no,auto_match,tt0367279:Arrested Development(2003)[125]
bad_girls_club,Bad Girls Club,,tt0914829,Bad Girls Club,2006,125,no,auto_match,tt0914829:Bad Girls Club(2006)[125]
below_deck,Below Deck,,tt2342499,Below Deck,2013,125,no,auto_match,tt2342499:Below Deck(2013)[125] | tt14721554:Below Deck Down Under(2022)[25] | tt17677144:Below Deck Adventure(2022)[25] | tt13750932:Below Deck Galley Talk(2021)[25] | tt10087444:Below Deck Sailing Yacht(2020)[25]
bobs_burgers,Bob's Burgers,,tt1561755,Bob's Burgers,2011,125,no,auto_match,tt1561755:Bob's Burgers(2011)[125] | tt8549874:Bob's Burgers After Show(2015)[25]
boston_legal,Boston Legal,,tt0402711,Boston Legal,2004,125,no,auto_match,tt0402711:Boston Legal(2004)[125] | tt3832704:South Boston Legal(2014)[5]
botched,Botched,,tt3781836,Botched,2014,125,no,auto_match,tt3781836:Botched(2014)[125] | tt38759914:Botched Home(2026)[25] | tt36933775:Botched Presents: Plastic Surgery Rewind(2025)[25] | tt32151348:Botched Bariatrics(2024)[25] | tt5190550:Botched by Nature(2016)[25]
buffy_the_vampire_slayer,Buffy The Vampire Slayer,,tt0118276,Buffy the Vampire Slayer,1997,125,no,auto_match,tt0118276:Buffy the Vampire Slayer(1997)[125] | tt35664058:Buffy the Vampire Slayer: New Sunnydale(2026)[25] | tt1825697:Buffy the Vampire Slayer: Season 8 Motion Comic(2010)[25]
cake_boss,Cake Boss,,tt1444382,Cake Boss,2009,125,no,auto_match,tt1444382:Cake Boss(2009)[125] | tt1794050:Cake Boss: Next Great Baker(2010)[25]
chicago_hope,Chicago Hope,,tt0108724,Chicago Hope,1994,125,no,auto_match,tt0108724:Chicago Hope(1994)[125]
community,Community,,tt1439629,Community,2009,125,no,auto_match,tt1439629:Community(2009)[125] | tt26451138:Community Squad(2023)[25] | tt30226440:Community Pulse Alberta(2023)[25] | tt32369560:Community Theater this girl's world(2023)[25] | tt36587681:Community Life(2023)[25]
counting_cars,Counting Cars,,tt2338096,Counting Cars,2012,125,no,auto_match,tt2338096:Counting Cars(2012)[125] | tt15274712:Counting Cars: Under the Hood(2021)[25] | tt6988886:Counting Cars: After Hours(2013)[25]
dance_moms,Dance Moms,,tt1991410,Dance Moms,2011,125,no,auto_match,tt1991410:Dance Moms(2011)[125] | tt32875185:Dance Moms: A New Era(2024)[25] | tt12164796:Dance Moms Funniest Fights(2019)[25] | tt2190731:Dance Moms: Miami(2012)[25]
deadliest_catch,Deadliest Catch,,tt0446809,Deadliest Catch,2005,125,no,auto_match,tt0446809:Deadliest Catch(2005)[125] | tt21925978:Deadliest Catch: The Viking Returns(2022)[25] | tt12018426:Deadliest Catch: Bloodline(2020)[25] | tt8485668:Deadliest Catch: Greenhorn(2018)[25] | tt5966720:Deadliest Catch: Dungeon Cove(2016)[25]
desperate_housewives,Desperate Housewives,,tt0410975,Desperate Housewives,2004,125,no,auto_match,tt0410975:Desperate Housewives(2004)[125] | tt5172362:Desperate Housewives Africa(2015)[25]
dharma__greg,Dharma & Greg,,tt0118303,Dharma & Greg,1997,125,no,auto_match,tt0118303:Dharma & Greg(1997)[125]
dog_the_bounty_hunter,Dog The Bounty Hunter,,tt0424627,Dog the Bounty Hunter,2003,125,no,auto_match,tt0424627:Dog the Bounty Hunter(2003)[125] | tt14119452:Dog the Bounty Hunter: Dog Unleashed(<NA>)[25]
doomsday_preppers,Doomsday Preppers,,tt2069270,Doomsday Preppers,2011,125,no,auto_match,tt2069270:Doomsday Preppers(2011)[125]
dr_pimple_popper,Dr Pimple Popper,,tt6045142,Dr. Pimple Popper,2018,100,no,auto_match,tt6045142:Dr. Pimple Popper(2018)[100]
duck_dynasty,Duck Dynasty,,tt2229907,Duck Dynasty,2012,125,no,auto_match,tt2229907:Duck Dynasty(2012)[125] | tt35520662:Duck Dynasty: The Revival(2025)[25]
er,ER,,tt0108757,ER,1994,125,no,auto_match,tt0108757:ER(1994)[125] | tt38598420:Erick & Joseph(2026)[25] | tt38647635:Eris no Seihai(2026)[25] | tt32129958:Erica(2025)[25] | tt35661987:Erklär's mir(2025)[25]
escape_to_the_chateau,Escape to the Chateau,,tt6249614,Escape to the Chateau,2016,125,no,auto_match,tt6249614:Escape to the Chateau(2016)[125] | tt13906912:Escape to the Chateau: Make Do and Mend(2020)[25] | tt8159596:Escape to the Chateau DIY(2018)[25]
family_guy,Family Guy,,tt0182576,Family Guy,1999,125,no,auto_match,tt0182576:Family Guy(1999)[125] | tt37505974:Family Guy Plush(2022)[25]
flip_this_house,Flip This House,,tt0476041,Flip This House,2005,125,no,auto_match,tt0476041:Flip This House(2005)[125]
forensic_files,Forensic Files,,tt0247882,Forensic Files,1996,125,no,auto_match,tt0247882:Forensic Files(1996)[125] | tt11840612:Forensic Files II(2020)[25]
forged_in_fire,Forged In Fire,,tt4680444,Forged in Fire,2015,125,no,auto_match,tt4680444:Forged in Fire(2015)[125] | tt21103638:Forged in Fire: Best Of(2021)[25] | tt12699108:Forged in Fire: Beat the Judges(2020)[25] | tt8817836:Forged in Fire: Knife or Death(2018)[25]
friday_night_lights,Friday Night Lights,,tt0758745,Friday Night Lights,2006,125,no,auto_match,tt0758745:Friday Night Lights(2006)[125] | tt16527056:Murder Under the Friday Night Lights(2022)[5] | tt13446572:Knight Friday Night Lights(2021)[5] | tt13446624:Bulldog Friday Night Lights(2021)[5] | tt34622018:Untitled Friday Night Lights Reboot(<NA>)[5]
fringe,Fringe,,tt1119644,Fringe,2008,125,no,auto_match,tt1119644:Fringe(2008)[125] | tt37749007:Fringes(2022)[25] | tt7326518:Fringe Man(2017)[25] | tt32781514:On the Fringe with Dan RadioStyle(2022)[5] | tt13154052:Comedy Central at the Edinburgh Fringe(2020)[5]
fyi,FYI,,tt36294919,Fyi,,125,no,auto_match,tt36294919:Fyi(<NA>)[125] | tt12251976:FYI World News(2020)[25] | tt11608566:FYI - SKY News for Kids(2019)[25] | tt3717614:FYI Fort Worth(2012)[25] | tt2157421:FYI Daily(2011)[25]
glee,Glee,,tt1327801,Glee,2009,125,no,auto_match,tt1327801:Glee(2009)[125] | tt9900704:Gleeso's News Talk(2018)[25] | tt14164808:Glee Vietnam(2017)[25] | tt3945774:Gleedo(2014)[25] | tt3678336:Glee Spoofs(2010)[25]
greys_anatomy,Grey's Anatomy,,tt0413573,Grey's Anatomy,2005,125,no,auto_match,tt0413573:Grey's Anatomy(2005)[125] | tt7849864:Grey's Anatomy: The Webisodes(2009)[25]
house_md,House M.D.,,tt0412142,House,2004,100,no,auto_match,tt0412142:House(2004)[100]
how_i_met_your_mother,How I Met Your Mother,,tt0460649,How I Met Your Mother,2005,125,no,auto_match,tt0460649:How I Met Your Mother(2005)[125]
i_love_lucy,I Love Lucy,,tt0043208,I Love Lucy,1951,125,no,auto_match,tt0043208:I Love Lucy(1951)[125] | tt5666404:The New I Love Lucy Superstar Special(2016)[5]
its_always_sunny_in_philadelphia,It's Always Sunny in Philadelphia,,tt0472954,It's Always Sunny in Philadelphia,2005,125,no,auto_match,tt0472954:It's Always Sunny in Philadelphia(2005)[125]
judge_judy,Judge Judy,,tt0115227,Judge Judy,1996,125,no,auto_match,tt0115227:Judge Judy(1996)[125]
keeping_up_with_the_kardashians,Keeping up with the Kardashians,,tt1086761,Keeping Up with the Kardashians,2007,125,no,auto_match,tt1086761:Keeping Up with the Kardashians(2007)[125]
king_of_the_hill,King of the Hill,,tt0118375,King of the Hill,1997,125,no,auto_match,tt0118375:King of the Hill(1997)[125] | tt12083036:King of the Hill Reviews(2014)[25] | tt0835175:IPT King of the Hill(2006)[5]
la_law,L.A. Law,,tt0090466,L.A. Law,1986,125,no,auto_match,tt0090466:L.A. Law(1986)[125]
life_below_zero,Life Below Zero,,tt2964642,Life Below Zero,2013,125,no,auto_match,tt2964642:Life Below Zero(2013)[125] | tt15257940:Life Below Zero: First Alaskans(2022)[25] | tt13049144:Life Below Zero: Next Generation(2020)[25] | tt16409608:Life Below Zero: Canada(2020)[25] | tt8390648:Life Behind Life Below Zero(2018)[5]
live_pd,Live PD,,tt6225166,Live PD,2016,125,no,auto_match,tt6225166:Live PD(2016)[125] | tt11142824:Live PD: Wanted(2019)[25] | tt8694866:Live PD Presents PD Cam(2018)[25] | tt9028892:Live PD: Women on Patrol(2018)[25] | tt6914160:Live PD: Police Patrol(2017)[25]
love_island_usa,Love Island USA,,tt8819906,Love Island USA,2019,125,no,auto_match,tt8819906:Love Island USA(2019)[125]
modern_family,Modern Family,,tt1442437,Modern Family,2009,125,no,auto_match,tt1442437:Modern Family(2009)[125] | tt4998566:Balancing Act: Portraits of the Modern Family(2015)[5]
naked_and_afraid,Naked and Afraid,,tt3007640,Naked and Afraid,2013,125,no,auto_match,tt3007640:Naked and Afraid(2013)[125] | tt37492943:Naked and Afraid: Apocalypse(2025)[25] | tt26753382:Naked and Afraid: Solo(2023)[25] | tt27462910:Naked and Afraid: Last One Standing(2023)[25] | tt28310762:Naked and Afraid: Castaways(2023)[25]
new_girl,New Girl,,tt1826940,New Girl,2011,125,no,auto_match,tt1826940:New Girl(2011)[125] | tt4687724:New Girls on the Block(2015)[25] | tt9061862:New Girl POV(2015)[25] | tt35436917:LA New Girl(2016)[5] | tt3326016:Brave New Girls(2014)[5]
nypd_blue,NYPD Blue,,tt0106079,NYPD Blue,1993,125,no,auto_match,tt0106079:NYPD Blue(1993)[125]
parks_and_recreation,Parks and Recreation,,tt1266020,Parks and Recreation,2009,125,no,auto_match,tt1266020:Parks and Recreation(2009)[125] | tt2138881:Parks and Recreation: Road Trip(2011)[25]
pawn_stars,Pawn Stars,,tt1492088,Pawn Stars,2009,125,no,auto_match,tt1492088:Pawn Stars(2009)[125] | tt22751192:Pawn Stars Do America(2022)[25] | tt16120446:Pawn Stars: Best of(2021)[25] | tt5051996:Pawn Stars Australia(2015)[25] | tt11992686:Pawn Stars South Africa(2014)[25]
queens_court,Queens Court,,tt26703401,Queens Court,2023,125,no,auto_match,tt26703401:Queens Court(2023)[125]
seinfeld,Seinfeld,,tt0098904,Seinfeld,1989,125,no,auto_match,tt0098904:Seinfeld(1989)[125] | tt5885804:Seinfeld: Inside Look(2004)[25] | tt4941390:Community Theater: Seinfeld the Musical(2015)[5] | tt18469402:The Jerry Seinfeld Program(2010)[5] | tt6046716:Searching for Jerry Seinfeld(<NA>)[5]
sister_wives,Sister Wives,,tt1721666,Sister Wives,2010,125,no,auto_match,tt1721666:Sister Wives(2010)[125]
six_feet_under,Six Feet Under,,tt0248654,Six Feet Under,2001,125,no,auto_match,tt0248654:Six Feet Under(2001)[125] | tt15326024:Six Feet Underground with Reaper(2021)[25] | tt29099185:Six Feet Under Anthology(<NA>)[25] | tt16390600:Untitled Six Feet Under/HBO Project(<NA>)[5]
south_park,South Park,,tt0121955,South Park,1997,125,no,auto_match,tt0121955:South Park(1997)[125] | tt4703214:South Park Barn Dance(1949)[25] | tt18765722:The Normies: South Park Reactions(2016)[5] | tt5779340:Vennori: South Park - The Stick of Truth(2014)[5]
southern_charm,Southern Charm,,tt2815522,Southern Charm,2013,125,no,auto_match,tt2815522:Southern Charm(2013)[125] | tt6845424:Southern Charm New Orleans(2018)[25] | tt6936928:Southern Charm Savannah(2017)[25] | tt23385200:Southern Charms(1997)[25]
storage_wars,Storage Wars,,tt1785123,Storage Wars,2010,125,no,auto_match,tt1785123:Storage Wars(2010)[125] | tt6904118:Storage Wars: Northern Treasures(2017)[25] | tt31216023:Storage Wars France: Enchères surprises(2015)[25] | tt5205136:Storage Wars: Miami(2015)[25] | tt5464972:Storage Wars: Barry Strikes Back(2015)[25]
street_outlaws,Street Outlaws,,tt3027156,Street Outlaws,2013,125,no,auto_match,tt3027156:Street Outlaws(2013)[125] | tt24328068:Street Outlaws: OKC(2023)[25] | tt27605637:Street Outlaws: Locals Only(2023)[25] | tt28282863:Street Outlaws: Mega Cash Days: After Hours(2023)[25] | tt30068856:Street Outlaws vs the World(2023)[25]
the_brady_bunch,The Brady Bunch,,tt0063878,The Brady Bunch,1969,125,no,auto_match,tt0063878:The Brady Bunch(1969)[125] | tt0075485:The Brady Bunch Variety Hour(1976)[25]
the_curse_of_oak_island,The Curse of Oak Island,,tt3455408,The Curse of Oak Island,2014,125,no,auto_match,tt3455408:The Curse of Oak Island(2014)[125] | tt5233094:The Curse of Oak Island: Drilling Down(2015)[25]
the_drew_barrymore_show,The Drew Barrymore Show,,tt10827252,The Drew Barrymore Show,2020,125,no,auto_match,tt10827252:The Drew Barrymore Show(2020)[125]
the_gentle_art_of_swedish_death_cleaning,The Gentle Art of Swedish Death Cleaning,,tt19401412,The Gentle Art of Swedish Death Cleaning,2023,125,no,auto_match,tt19401412:The Gentle Art of Swedish Death Cleaning(2023)[125]
the_incredible_dr_pol,The Incredible Dr. Pol,,tt2136396,The Incredible Dr. Pol,2011,125,no,auto_match,tt2136396:The Incredible Dr. Pol(2011)[125]
the_proof_is_out_there,The Proof Is Out There,,tt13951868,The Proof is Out There,2021,125,no,auto_match,tt13951868:The Proof is Out There(2021)[125] | tt37783705:The Proof Is Out There: UnXplained Edition(2025)[25] | tt32032875:The Proof Is Out There: Military Mysteries(2024)[25] | tt32678729:The Proof Is Out There: Alien Edition(2024)[25] | tt22778412:The Proof Is Out There: Skinwalker Edition(2022)[25]
the_real_housewives_of_orange_county,The Real Housewives of Orange County,,tt0497079,The Real Housewives of Orange County,2006,125,no,auto_match,tt0497079:The Real Housewives of Orange County(2006)[125]
the_simpsons,The Simpsons,,tt0096697,The Simpsons,1989,125,no,auto_match,tt0096697:The Simpsons(1989)[125] | tt12294152:The Simpsons: Tracey Ullman Shorts(1987)[25] | tt29137461:Inside the Simpsons(2023)[5] | tt6207716:Simpsonville: The Real Springfield of the Simpsons(<NA>)[5]
