slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre
21_jump_street,21 Jump Street,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,Filmrise owns rights?,
24_tv_show,24,Show,Disney/Fox,Disney+/Hulu,,,,,25.9M,,,,,https://www.facebook.com/Official24TVShow,3.7M,0,,,,,,
30_rock,30 Rock,Show,NBCU,Peacock,https://www.youtube.com/@30Rock,81K,797,9/15/2014,,0.9M,11.3,10.9M,"$21,775 ",https://www.facebook.com/30RockTV,1.7M,4,,,,,,
90_day_fiance,90 Day Fiance,Show,WBD,Max,https://www.youtube.com/@90dayfiance,528K,"2,100",6/29/2020,,6.3M,11.9,75.4M,"$150,720 ",https://www.facebook.com/90DayFiance,4.3M,10,"$150,720 ","$301,440 ",,,Clips on Discovery YT,
access_hollywood,Access Hollywood,Show,NBCU,Peacock,https://www.youtube.com/@AccessHollywood,"1,970K","39,618",5/4/2006,,20.3M,10.3,243.3M,"$486,504 ",https://www.facebook.com/accesshollywood,2.0M,10,"$486,504 ","$973,008 ",,,Entertainment news clips posted on both YT and FB,
ae,A&E,Channel,A+E,,https://www.youtube.com/@AETV,"10,800K","10,916","38,980",,54.5M,5,654.1M,"$1,308,192 ",https://www.facebook.com/AETV,3.7M,10,"$1,308,192 ","$2,616,384 ",,,,
ally_mcbeal,Ally McBeal,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/allymcbealseries,0.2M,0,,,,,,
alone,Alone,Show,History,,,,,,,,,,,https://www.facebook.com/Alone,0.3M,10,0,$0 ,,,,
american_chopper,American Chopper,Show,WBD,Max,Discovery,,,,122.0M,,,0.0M,,https://www.facebook.com/AmericanChopper,1.2M,0,$0 ,$0 ,12,231,Clips on Discovery YT,
american_dad,American Dad,Show,Disney,Disney+/Hulu,???,,,,,,,,,https://www.facebook.com/AmericanDad,14.0M,1,,,,,,
american_idol,American Idol,Show,Disney,Disney+/Hulu,https://www.youtube.com/@AmericanIdol,"3,600K","1,700",3/3/2006,,55.0M,15.3,660.0M,"$1,320,000 ",https://www.facebook.com/AmericanIdol,17.0M,10,"$1,320,000 ","$2,640,000 ",,,,
american_ninja_warrior,American Ninja Warrior,Show,NBCU,Peacock,https://www.youtube.com/@NinjaWarrior,697K,972,5/12/2016,,0.3M,0.4,3.1M,"$6,151 ",https://www.facebook.com/ninjawarrior,6.9M,2,"$6,151 ","$12,302 ",,,,
american_pickers,American Pickers,Show,History,,,,,,,,,,,https://www.facebook.com/AmericanPickers,2.7M,10,0,$0 ,,,,
americas_most_wanted,America's Most Wanted,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/MostWantedonFOX,0.0M,0,,,,,,
ancient_aliens,Ancient Aliens,Show,History,,,,,,,,,,,https://www.facebook.com/ancientaliens,3.3M,10,0,$0 ,,,,
angel,Angel,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
antenna,Antenna,Channel,Nexstar,0,https://www.youtube.com/@AntennaTV,34K,265,1/11/2016,,0.1M,1.6,0.7M,"$1,320 ",https://www.facebook.com/AntennaTV/,1.3M,10,"$1,320 ","$2,640 ",,,,
anthony_bourdain__parts_unknown,Bourdain - Parts Unknown,Show,WBD,Max,???,,,,132.0M,,,0.0M,,https://www.facebook.com/PartsUnknownCNN,0.7M,0,$0 ,$0 ,12,104,Clips on Discovery YT,
antiques_road_trip,Antiques Road Trip,Show,NBCU,Peacock,http://www.youtube.com/@AntiquesRoadTrip,6K,328,5/16/2022,,0.1M,22.9,1.8M,"$3,554 ",https://www.facebook.com/antiquesroadtrip,0.1M,6,"$3,554 ","$7,108 ",,,,
arrested_development,Arrested Development,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/ArrestedDevelopment,1.7M,0,,,,,New Marketing U runs a pirate channel,
bad_girls_club,Bad Girls Club,Show,NBCU,Peacock,???,,,,,,,,,https://www.facebook.com/thebadgirlsclub,4.4M,0,$0 ,$0 ,,,Last active in October,
battlestar_galactica,Battlestar Galatica,Show,NBCU,Peacock,https://www.youtube.com/@BattlestarGalactica,78K,569,5/14/2014,,0.6M,7.2,6.7M,"$13,489 ",https://www.facebook.com/BSG,0.9M,0,,,,,Funko Fusion posts on FB are causing fans to unfollow,
below_deck,Below Deck,Show,NBCU,Peacock,Bravo,,,,,,,,,https://www.facebook.com/BelowDeckBravo,0.6M,10,$0 ,$0 ,,,Clips on Bravo YT. Active FB,
beverly_hills_90210,Beverly Hills 90210,Show,CBS,Paramount+,https://www.youtube.com/@BevHills90210,50K,733,1/26/2023,119.0M,1.6M,32,19.2M,"$38,400 ",https://www.facebook.com/BeverlyHills90210,0.7M,10,"$38,400 ","$76,800 ",,,,
beyond_the_headlines,Beyond The Headlines,Channel,Lifetime,,,,,,,,,,,,,,0,$0 ,,,,
blind_date,Blind Date,Show,NBCU,Peacock,Nosey,,,,,,,,,,,,$0 ,,,,"Full episodes on Nosey. Lots of other ""Blind Date"" content so it's hard to find this one older show.",
bobs_burgers,Bob's Burgers,Show,Disney,Disney+/Hulu,???,,,,,,,,,https://www.facebook.com/BobsBurgers,1.7M,6,,,,,,
bones_tv_show,Bones,Show,Disney/Fox,Disney+/Hulu,,,,,39.5M,,,,,https://www.facebook.com/Bones,9.4M,1,,,,,,
boston_legal,Boston Legal,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
botched,Botched,Show,NBCU,Peacock,E! YT,,,,,,,,,https://www.facebook.com/botchedtv,0.9M,10,$0 ,$0 ,,,,
bride__prejudice,Bride & Prejudice,Show,Lifetime,,,,,,,,,,,,,,0,$0 ,,,,
buffy_the_vampire_slayer,Buffy The Vampire Slayer,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/BuffyTheVampireSlayer,1.5M,5,,,,,,
cake_boss,Cake Boss,Show,WBD,Max,TLC,,,,"1,000.0M",,,0.0M,,https://www.facebook.com/CakeBoss,8.4M,0,$0 ,$0 ,9,247,Clips on Discovery YT,
charmed,Charmed,Show,CBS,Paramount+,,42K,783,4/11/2023,58.7M,2.5M,59.5,30.0M,"$60,000 ",https://www.facebook.com/charmedtv,2.2M,10,"$60,000 ","$120,000 ",,,,
chicago_hope,Chicago Hope,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
cold_case_files,Cold Case Files,Show,A+E,,,,,,122.4M,,,,,https://www.facebook.com/OfficialColdCaseFiles,0.5M,4,0,$0 ,,,,
comet,Comet,Channel,Sinclair,0,https://www.youtube.com/@watchcomet649,5K,23,9/4/2015,,0.0M,0.1,0.0M,$13 ,https://www.facebook.com/WatchComet,0.1M,10,$13 ,$26 ,,,,
community,Community,Show,Sony,Peacock,https://www.youtube.com/@CommunityOfficialChannel,327K,805,7/19/2019,,9.8M,29.9,117.4M,"$234,888 ",https://www.facebook.com/communitytv,1.5M,1,,,,,,
counting_cars,Counting Cars,Show,History,,,,,,,,,,,https://www.facebook.com/HISTORYCountingCars,3.0M,3,0,$0 ,,,,
cozi,Cozi,Channel,NBCU,0,https://www.youtube.com/@CoziTV,76K,334,11/13/2012,,0.5M,7,6.4M,"$12,840 ",https://www.facebook.com/cozitv,0.6M,10,"$12,840 ","$25,680 ",,,,
dabl,Dabl,Channel,Paramount,0,https://www.youtube.com/@DABLNetwork,883K,806,7/30/2019,,2.4M,2.7,28.8M,"$57,600 ",https://www.facebook.com/watchdabl,0.0M,0,"$57,600 ","$115,200 ",,,,
dance_moms,Dance Moms,Show,Lifetime,,,,,,,,,,,https://www.facebook.com/DanceMomsonLIFETIME,2.8M,10,0,$0 ,,,,
deadliest_catch,Deadliest Catch,Show,WBD,Max,Discovery,,,,192.0M,,,0.0M,$0 ,https://www.facebook.com/DeadliestCatch,3.2M,0,$0 ,$0 ,20,351,,
desperate_housewives,Desperate Housewives,Show,Disney,Hulu,ABC,,,,207.2M,,,0.0M,,https://www.facebook.com/DesperateHousewives,8.8M,2,$0 ,$0 ,,,Clips on ABC YT channel,
dharma__greg,Dharma & Greg,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/dharmaandgregtvshow,0.0M,,,,,,,
dog_the_bounty_hunter,Dog The Bounty Hunter,Show,A+E,,,,,,,,,,,https://www.facebook.com/dogthebountyhunter,1.7M,0,0,$0 ,,,,
doogie_howser_md,Doogie Howser M.D.,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
doomsday_preppers,Doomsday Preppers,Show,Disney,Disney+/Hulu,NatGeo YT,,,,58.7M,,,,,https://www.facebook.com/doomsdaypreppers,0.3M,0,$0 ,$0 ,,,Full eps in playlist on NatGeo channel,
dr_phil,Dr. Phil Show,Show,CBS,Paramount+,,"6,360K","14,898",7/5/2007,,7.6M,1.2,91.2M,"$182,400 ",https://www.facebook.com/drphilshow,9.5M,10,"$182,400 ","$364,800 ",,,,
dr_pimple_popper,Dr Pimple Popper,Show,WBD,Max,https://www.youtube.com/@DrPimplePopper,"8,250K","2,900",10/20/2010,"5,900.0M",38.1M,4.6,457.7M,"$915,360 ",https://www.facebook.com/DrPimplePopperTLC,0.9M,4,"$915,360 ","$1,830,720 ",,,Clips on Discovery YT,
duck_dynasty,Duck Dynasty,Show,A+E,,,,,,,,,,,https://www.facebook.com/duckdynasty,7.0M,8,0,$0 ,,,,
er_emergency_room,ER,Show,WBD,Max,https://www.youtube.com/@er-emergencyroom434,60K,206,8/17/2019,61.0M,0.3M,5.2,3.8M,"$7,513 ",N/A,,,,"$7,513 ",15,331,"YT fan channel, but not official",
escape_to_the_chateau,Escape to the Chateau,Show,NBCU,Peacock,Channel 4 YT,,,,,,,,,https://www.facebook.com/escapetothechateau,0.2M,7,$0 ,$0 ,,,,
eurovision,Eurovision,Show,Eurovision,Youtube,https://www.youtube.com/@EurovisionSongContest,"5,670K","6,988",3/5/2006,,62.9M,11.1,755.2M,"$1,510,368 ",https://www.facebook.com/EurovisionSongContest,1.8M,10,"$1,510,368 ","$3,020,736 ",,,,
family_guy,Family Guy,Show,Disney,Disney+/Hulu,???,,,,,,,,,https://www.facebook.com/FamilyGuy,42.0M,10,,,,,,
fifth_wheel,Fifth Wheel,Show,NBCU,Peacock,N/A,,,,,,,,,,,,$0 ,,,,No episodes on Nosey. No YT or FB channels.,
filmrisetruecrime,FilmRiseTrueCrime,Channel,FilmRise,,https://www.youtube.com/@filmrisetruecrime,"1,080K","1,793",6/28/2014,,8.0M,7.4,96.0M,"$192,000 ",,,,,,,,,
flip_this_house,Flip This House,Show,A+E,,,,,,,,,,,,,,0,$0 ,,,,
forensic_files,Forensic Files,Show,FilmRise,,,,,,215.1M,,,,,,,,0,$0 ,,,,
forged_in_fire,Forged In Fire,Show,History,,,,,,,,,,,https://www.facebook.com/ForgedinFireHISTORY,1.3M,9,0,$0 ,,,,
friday_night_lights,Friday Night Lights,Show,NBCU,Peacock,https://www.youtube.com/@FridayNightLights,25K,362,10/10/2019,,0.2M,7.4,2.2M,"$4,434 ",https://www.facebook.com/fridaynightlights,0.6M,0,,,,,,
friends,Friends,Show,WBD,Max,https://www.youtube.com/@Friends,476K,930,4/4/2019,,30.0M,63,360.0M,"$720,000 ",https://www.facebook.com/friends.tv,18.0M,7,"$720,000 ","$1,440,000 ",,,,
fringe,Fringe,Show,WBD,Max,???,,,,21.0M,,,0.0M,,https://www.facebook.com/Fringe,3.0M,0,$0 ,$0 ,5,100,,
futurama,Futurama,Show,Disney/Fox,Disney+/Hulu,,,,,974.8M,,,,,https://www.facebook.com/Futurama,23.0M,0,,,,,,
fyi,FYI,Channel,A+E,,,,,,,,,,,,,,0,$0 ,,,,
game_of_thrones,,,,,,,,,,,,,,,,,,,,,,
glee,Glee,Show,Disney/Fox,Disney+/Hulu,https://www.youtube.com/@GLEE,185K,85,5/21/2009,"2,101.4M",0.0M,0.1,0.2M,$325 ,https://www.facebook.com/Glee,17.0M,3,,,,,,
gold_rush,Gold Rush,Show,WBD,Max,Discovery,,,,131.0M,,,0.0M,,https://www.facebook.com/GoldRush,2.3M,10,$0 ,$0 ,,,Clips on Discovery YT,
greys_anatomy,Grey's Anatomy,Show,Disney,Hulu,ABC,,,,423.4M,,,0.0M,,https://www.facebook.com/GreysAnatomy,21.0M,10,$0 ,$0 ,,,Clips on ABC YT channel,
grit,Grit,Channel,Scripps,0,https://www.youtube.com/@grit_tv,60K,139,2/10/2022,,0.1M,1.4,1.0M,"$1,992 ",https://www.facebook.com/grittvnetwork,0.3M,4,"$1,992 ","$3,984 ",,,,
gypsy_rose,Gypsy Rose,Show,Lifetime,,,,,,,,,,,,,,0,$0 ,,,,
hells_kitchen,Hell's Kitchen,Show,iTV,Peacock,https://www.youtube.com/@hellskitchen,"1,970K","1,388",1/15/2018,,16.9M,8.6,202.4M,"$404,832 ",https://www.facebook.com/HellsKitchen,3.1M,2,"$404,832 ","$809,664 ",,,,
history,History,Channel,A+E,,https://www.youtube.com/@HISTORY,"13,800K","10,128",8/27/2006,,52.9M,3.8,635.1M,"$1,270,272 ",https://www.facebook.com/HISTORY,46.0M,10,"$1,270,272 ","$2,540,544 ",,,,
hoarders,Hoarders,Show,A+E,,,,,,,,,,,https://www.facebook.com/Hoarders,1.5M,7,0,$0 ,,,,
house_md,House M.D.,Show,NBCU,Peacock,https://www.youtube.com/@HouseM.D.,"1,410K",1043,7/27/2017,,40.0M,28.4,480.6M,"$961,128 ",https://www.facebook.com/House,33.0M,1,,,,,,
how_i_met_your_mother,How I Met Your Mother,Show,Disney/Fox,Disney+/Hulu,,,,,"1,099.8M",,,,,https://www.facebook.com/OfficialHowIMetYourMother,18.0M,1,,,,,,
i_love_lucy,I Love Lucy,Show,CBS,Paramount+,https://www.youtube.com/@ILoveLucyShow,15K,338,8/6/2024,,1.5M,97.9,17.5M,"$35,016 ",,,,,,,,,
impractical_jokers,Impractical Jokers,Show,WBD,Max,TruTV,,,,"1,000.0M",,,0.0M,,https://www.facebook.com/ImpracticalJokers,4.9M,5,$0 ,$0 ,,,Clips on Discovery YT,
in_living_color,In Living Color,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
invincible,Invincible,Show,Amazon,Prime,???,,,,,,,,,https://www.facebook.com/Invincibleuniverse,0.1M,10,,,,,,
its_always_sunny_in_philadelphia,It's Always Sunny in Philadelphia,Show,Disney/Fox,Disney+/Hulu,https://www.youtube.com/@AlwaysSunny,13K,10,7/1/2010,,0.0M,0.1,0.0M,$20 ,https://www.facebook.com/alwayssunny,3.2M,4,,,,,Channels seem official but not much activity. Clips on FX Networks YT channel.,
judge_judy,Judge Judy,Show,CBS,Pluto,https://www.youtube.com/@JudgeJudy,764K,"2,500",1/15/2021,335.0M,33.9M,44.4,406.7M,"$813,384 ",https://www.facebook.com/JudgeJudy,3.6M,10,"$813,384 ","$1,626,768 ",,,,
karamo_show,Karamo,Show,NBCU,Peacock,https://www.youtube.com/@KaramoShow,992K,"1,437",2/28/2022,,8.0M,8.1,96.4M,"$192,768 ",https://www.facebook.com/KaramoShow,1.4M,10,"$192,768 ","$385,536 ",,,Longer clips on YT (5-10mins posted frequently). Same content posted on FB. Good strategy.,
